baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	type
ENSG00000145242	188.003807702296	3.23522346557948	0.506679405916707	6.38514892810015	1.71230743539394e-10	1.05478138020267e-07	UP
ENSG00000136826	7008.26045126151	1.98755200339984	0.385347917189369	5.15781171959238	2.49852670705317e-07	7.26403593871502e-05	UP
ENSG00000082898	12116.06041595	-0.634917676723701	0.12570115514059	-5.05100908590361	4.39482163427687e-07	7.26403593871502e-05	NOT
ENSG00000253729	43582.4021064237	-0.661338516841238	0.132205772292977	-5.00234222281661	5.66379315374549e-07	7.26403593871502e-05	NOT
ENSG00000154803	1661.06312207467	0.811861645284321	0.162548253042578	4.99458856116812	5.89613306713881e-07	7.26403593871502e-05	NOT
ENSG00000148053	1560.05469514636	2.04060688398907	0.411613550553493	4.95757946074681	7.13768531810674e-07	7.32802359325625e-05	UP
ENSG00000106399	435.917611950469	-1.06597539995326	0.216399268933641	-4.92596580943232	8.39446763587053e-07	7.38713151956606e-05	DOWN
ENSG00000139618	3177.94948834927	-1.10259831602112	0.228199820982848	-4.83172296661876	1.35356516165005e-06	9.60712054675027e-05	DOWN
ENSG00000157554	1163.67306630295	1.24437889410123	0.259024821662001	4.80409130722233	1.5545588120129e-06	9.60712054675027e-05	UP
ENSG00000163558	5196.48549435812	-1.18144021492679	0.24595691894346	-4.80344370876745	1.55959749135556e-06	9.60712054675027e-05	DOWN
ENSG00000079102	2164.08153300771	1.45106926103906	0.303576666714982	4.77991038224759	1.7537335018769e-06	9.82090761051065e-05	UP
ENSG00000177606	20144.8152146233	1.34325878085558	0.284560949690739	4.7204607038156	2.35311066849205e-06	0.000120793014315925	UP
ENSG00000173757	4684.02945156656	0.796274118661204	0.169632295451842	4.69411863195155	2.67758622390344e-06	0.000124472588286867	NOT
ENSG00000140538	2964.37805989026	2.44975331454597	0.52313126493809	4.6828654273529	2.82892246106515e-06	0.000124472588286867	UP
ENSG00000153707	3617.87372351861	1.47474538130775	0.32393294351652	4.55262550729897	5.29805343298652e-06	0.000217573394314646	UP
ENSG00000172260	679.085156014437	2.01187800682203	0.446026707201082	4.51066712898655	6.46240621735067e-06	0.000248802639368001	UP
ENSG00000113721	10108.9740297872	1.30038224223283	0.29082644965113	4.47133417126519	7.77331229731033e-06	0.000281668257361363	UP
ENSG00000143384	13195.3132111421	0.964466925202203	0.217577462676721	4.43275196491844	9.30378762998449e-06	0.000318396287781691	NOT
ENSG00000097007	9046.49224120352	0.766336727024227	0.173967324963887	4.40506127908392	1.05753978413978e-05	0.000334932077413082	NOT
ENSG00000187391	994.739108893299	1.25591359365617	0.285498933136464	4.39901326375839	1.08744180978273e-05	0.000334932077413082	UP
ENSG00000159388	4632.20696728618	1.20142149890845	0.274749897268252	4.3727823407899	1.2267301352557e-05	0.000359840839675004	UP
ENSG00000095002	3865.65156177585	-0.719225806192853	0.165028032913189	-4.35820383662448	1.31134222719213e-05	0.000367175823613796	NOT
ENSG00000120156	1264.06592336098	1.18806291781987	0.273457232946047	4.34460228029251	1.39528222983858e-05	0.000373692979817637	UP
ENSG00000070193	141.724348598385	2.20981132682342	0.510915627589189	4.32519814915558	1.52394814771285e-05	0.000391146691246297	UP
ENSG00000185345	303.098416442976	1.02616038745443	0.240881378144522	4.26002373184185	2.04405199254714e-05	0.000503654410963617	UP
ENSG00000126458	1664.2309289535	0.984674198911792	0.231908737121526	4.24595559069342	2.17663742865836e-05	0.000515695636943674	NOT
ENSG00000088305	1124.84578952289	-1.36067390019057	0.321152141699895	-4.23685139693719	2.26676049565221e-05	0.00051715720937843	DOWN
ENSG00000083093	1911.14584940514	-0.456459866425079	0.108484322394643	-4.20761135203089	2.58084238669367e-05	0.000567785325072607	NOT
ENSG00000102900	2447.70258795396	-0.651787649121469	0.155912498796955	-4.18047080350044	2.90906162880373e-05	0.000610608519854425	NOT
ENSG00000105393	309.274240000302	-0.585235066169264	0.140160358089395	-4.17546782946999	2.97374279149882e-05	0.000610608519854425	NOT
ENSG00000143207	3993.69856810677	-0.357461483772648	0.0861879612530589	-4.14746420005336	3.36178016096435e-05	0.000668018251340014	NOT
ENSG00000100345	64606.521546026	0.640188492610185	0.155576858131312	4.11493393233231	3.87290328377764e-05	0.000745533882127196	NOT
ENSG00000020181	9235.28339163215	1.20405715205672	0.293165342032588	4.10709241313688	4.00670952426584e-05	0.000747919111196291	UP
ENSG00000037280	1522.57097896087	1.09779116548859	0.268878297713439	4.08285523533987	4.44857366264267e-05	0.000805976875349377	UP
ENSG00000051180	226.46936019358	-0.774139362328617	0.190711826604988	-4.05921004538462	4.92390076126123e-05	0.000847673738529	NOT
ENSG00000175054	9533.42998856224	-0.653492389928919	0.161046397107271	-4.05778956665286	4.95393743296169e-05	0.000847673738529	NOT
ENSG00000172889	1654.04044311553	1.12618968403379	0.278532512938197	4.04329703614775	5.27047812429661e-05	0.00087746338501803	UP
ENSG00000108799	3476.63017791655	0.61395604850413	0.15259825961552	4.02334895595157	5.73763865580078e-05	0.000930101424203495	NOT
ENSG00000122512	1390.97275785724	-0.51444811144377	0.128678148014055	-3.99794463460554	6.38948909939042e-05	0.00100029343610082	NOT
ENSG00000213281	972.418485655628	-0.574973700566854	0.143957557083289	-3.99405013683437	6.4954119227326e-05	0.00100029343610082	NOT
ENSG00000167601	4705.65411622761	0.828137554596701	0.208513215985323	3.97163100997393	7.13822264068383e-05	0.00106179423348114	NOT
ENSG00000197299	891.685099471005	-1.03920771101029	0.261879019712006	-3.96827402268852	7.23950613737141e-05	0.00106179423348114	DOWN
